tagValue,count,Z-score,IQR_meth
psychedelic trance,71,0.31,True
melrose place,71,0.31,True
fav artists,71,0.31,True
space rock,70,0.3,True
americana,70,0.3,True
rock hard,70,0.3,True
barkbarkdisco,70,0.3,True
jpop,69,0.3,True
singalong,69,0.3,True
other great tracks,69,0.3,True
80's,69,0.3,True
aana,68,0.29,True
idolo,68,0.29,True
new rave,67,0.28,True
1992,67,0.28,True
proto-punk,67,0.28,True
friends,67,0.28,True
post punk,66,0.28,True
miserable,66,0.28,True
norwegian,66,0.28,True
smooth,66,0.28,True
best,65,0.27,True
f4nt4stic,65,0.27,True
great song,65,0.27,True
alt-country,64,0.27,True
dance-pop,64,0.27,True
ninja tune,64,0.27,True
brazilian rock,64,0.27,True
hit,64,0.27,True
90210,63,0.26,True
swing,63,0.26,True
10s,63,0.26,True
fav songs,62,0.25,True
my fav songs,62,0.25,True
great,62,0.25,True
madonna,62,0.25,True
cool as,62,0.25,True
female vocals,62,0.25,True
goa,62,0.25,True
single,62,0.25,True
favorite artist,61,0.25,True
nu jazz,61,0.25,True
asian,61,0.25,True
ethnic,60,0.24,True
faves,60,0.24,True
england,60,0.24,True
hard,59,0.24,True
alsolike,59,0.24,True
old school,59,0.24,True
christmas blend,59,0.24,True
favourite,59,0.24,True
straight edge,58,0.23,True
not emo,58,0.23,True
composer,58,0.23,True
special,58,0.23,True
good shit,57,0.22,True
best christmas songs,57,0.22,True
prejebeno,57,0.22,True
depeche mode,57,0.22,True
summer song,57,0.22,True
lpa,57,0.22,True
my electro feelings,56,0.22,True
comedy,56,0.22,True
vocal trance,56,0.22,True
slowies,56,0.22,True
synth,56,0.22,True
nwobhm,56,0.22,True
check,56,0.22,True
i love this song,55,0.21,True
worship,55,0.21,True
powerful,55,0.21,True
dope,55,0.21,True
british artists,55,0.21,True
britney spears,55,0.21,True
eldad,55,0.21,True
jukebox project,55,0.21,True
new wave and eighties,55,0.21,True
electro-industrial,55,0.21,True
for work,55,0.21,True
pop covers,53,0.2,True
twee,53,0.2,True
pop-rock,52,0.2,True
1991,52,0.2,True
phat,52,0.2,True
sick,52,0.2,True
underrated,52,0.2,True
progressive death metal,52,0.2,True
crazy,52,0.2,True
iron jesus,52,0.2,True
masterpiece,52,0.2,True
tinosoft,52,0.2,True
favorite bands,52,0.2,True
glitch,51,0.19,True
berep shows the love,51,0.19,True
old,51,0.19,True
inlove,51,0.19,True
oui fm,51,0.19,True
piano rock,51,0.19,True
duets,51,0.19,True
specials to 3mmey,50,0.18,True
great memories with my siss,50,0.18,True
jrock,50,0.18,True
90's,50,0.18,True
nostalgic,50,0.18,True
songs ive obsessed over,50,0.18,True
noise rock,49,0.18,True
dreampop,49,0.18,True
celtic,49,0.18,True
arabic,49,0.18,True
sensual,49,0.18,True
garage,49,0.18,True
breakcore,49,0.18,True
oh so catchy,49,0.18,True
california,49,0.18,True
album rock,49,0.18,True
my favorites,49,0.18,True
classic country,49,0.18,True
all the best,49,0.18,True
sxsw2006,49,0.18,True
fave,48,0.17,True
awesome-ness,48,0.17,True
jamaica,48,0.17,True
popular,48,0.17,True
ich liebe dich,48,0.17,True
want to see live,48,0.17,True
loved,48,0.17,True
female voices,48,0.17,True
1980s,48,0.17,True
beyonce,48,0.17,True
remember him,47,0.17,True
rock me babe,47,0.17,True
tight,47,0.17,True
favourite songs,47,0.17,True
chanson francaise,47,0.17,True
best songs of the 00s,47,0.17,True
straight up modern rock,47,0.17,True
listened more than 10 times in a row,46,0.16,True
my favorite,46,0.16,True
rapcore,46,0.16,True
1982,46,0.16,True
the beowulfs choice,46,0.16,True
good old times,46,0.16,True
instrumental hip-hop,46,0.16,True
girl power,46,0.16,True
twilight,45,0.15,True
hypnotic,45,0.15,True
jamaican,45,0.15,True
energetic,45,0.15,True
legends,45,0.15,True
1981,45,0.15,True
deutsch,45,0.15,True
b-side,45,0.15,True
songs i absolutely love,45,0.15,True
riot grrrl,45,0.15,True
1995,45,0.15,True
new wave artists,45,0.15,True
great lyrics,44,0.15,True
melodic,44,0.15,True
viking metal,44,0.15,True
bi daha dinlicem,44,0.15,True
bliss,44,0.15,True
1996,44,0.15,True
lol,44,0.15,True
justin timberlake,44,0.15,True
u2,44,0.15,True
duet,44,0.15,True
handclaps,43,0.14,True
sludge,43,0.14,True
film music composer,43,0.14,True
the good stuff,43,0.14,True
2007,43,0.14,True
i am canadian,43,0.14,True
barrelhouse covers,43,0.14,True
new york,43,0.14,True
math rock,42,0.14,True
brazilian music,42,0.14,True
ohmydamn,42,0.14,True
r and b,42,0.14,True
the truth,42,0.14,True
1008,42,0.14,True
better than metallica,42,0.14,True
pop singles,42,0.14,True
neon space,42,0.14,True
real talk,42,0.14,True
post hardcore,42,0.14,True
baixar,42,0.14,True
vfsix,42,0.14,True
guitar solo,42,0.14,True
france,41,0.13,True
nelly furtado,41,0.13,True
marisa mix,41,0.13,True
hip hop/rap,41,0.13,True
baroque,41,0.13,True
harmonies,41,0.13,True
melodic metal,41,0.13,True
jet set radio future,41,0.13,True
deep,41,0.13,True
new weird america,41,0.13,True
weekly top tracks,41,0.13,True
breathtaking,41,0.13,True
russian rock,41,0.13,True
fusion,40,0.12,True
0 play yet,40,0.12,True
psychobilly,40,0.12,True
let's dance,40,0.12,True
rave,40,0.12,True
nostalgia,40,0.12,True
songs to download later,40,0.12,True
i am in love with this song,40,0.12,True
musical,40,0.12,True
sufi,40,0.12,True
play this loud enough to raise the dead,40,0.12,True
one tree hill,40,0.12,True
skins soundtrack,40,0.12,True
bark,40,0.12,True
russian alternative,39,0.12,True
political,39,0.12,True
trip hop,39,0.12,True
goddesses,39,0.12,True
gluhie 90e,39,0.12,True
samba,39,0.12,True
my angular favourites,39,0.12,True
i love my dad taste,39,0.12,True
the beatles,39,0.12,True
hyper,39,0.12,True
girlamazing,39,0.12,True
kpop,38,0.11,True
glee,38,0.11,True
new country,38,0.11,True
favorite bands and artists,38,0.11,True
technical metal,38,0.11,True
wonderful through headphones,38,0.11,True
artists,38,0.11,True
seventies,38,0.11,True
acoustic guitar,38,0.11,True
contemporary classical,38,0.11,True
preferidas,38,0.11,True
lefties,38,0.11,True
mod,38,0.11,True
mya,38,0.11,True
jesus,38,0.11,True
not-emo,38,0.11,True
brandy,37,0.11,True
weekly top artists,37,0.11,True
trancecore,37,0.11,True
launge,37,0.11,True
00's,37,0.11,True
rio grande do sul,37,0.11,True
oscar winning songs,37,0.11,True
heavy,37,0.11,True
diego,37,0.11,True
timbaland,37,0.11,True
cities,37,0.11,True
tweet,37,0.11,True
bass,37,0.11,True
8-bit,37,0.11,True
manchester,37,0.11,True
missy elliott,36,0.1,True
top christian,36,0.1,True
jams,36,0.1,True
solid,36,0.1,True
post-punk revival,36,0.1,True
jazz fusion,36,0.1,True
70's,36,0.1,True
pop dance,36,0.1,True
poignant,36,0.1,True
thrash,36,0.1,True
eclectic,36,0.1,True
polish rock,36,0.1,True
as,36,0.1,True
2006,36,0.1,True
contemporary rnb,36,0.1,True
edit,36,0.1,True
anti-folk,36,0.1,True
love song,36,0.1,True
abstract hip-hop,35,0.09,True
alternative dance,35,0.09,True
these songs are just amazing,35,0.09,True
new wave songs,35,0.09,True
diego 12,35,0.09,True
fave songs ever,35,0.09,True
best songs of the 70s,35,0.09,True
east coast rap,35,0.09,True
cesar,35,0.09,True
jean marc toma,35,0.09,True
lady gaga,35,0.09,True
tyler adam,35,0.09,True
title is a full sentence,35,0.09,True
my fav fun,35,0.09,True
redone,35,0.09,True
heartbroke,34,0.09,True
myfavoritesongs,34,0.09,True
japan,34,0.09,True
sexy songs,34,0.09,True
best songs in the world,34,0.09,True
the best classical opera and film scores,34,0.09,True
saxophone,34,0.09,True
neo-soul,34,0.09,True
best songs of the 80s,34,0.09,True
recos,34,0.09,True
tags,34,0.09,True
great lyricists,34,0.09,True
delta blues,34,0.09,True
scholes song,34,0.09,True
retro,34,0.09,True
egzamin,33,0.08,True
motown,33,0.08,True
best songs of the 50s,33,0.08,True
1997,33,0.08,True
leftovergrooves,33,0.08,True
dance music,33,0.08,True
random songs,33,0.08,True
post-metal,33,0.08,True
triple j,33,0.08,True
neat,33,0.08,True
mexico,33,0.08,True
jesus 12,33,0.08,True
ska punk,33,0.08,True
yay,33,0.08,True
duran duran,33,0.08,True
rocksteady,33,0.08,True
first-rate and free,33,0.08,True
country ladies,33,0.08,True
wicked women,33,0.08,True
great moments at et7,33,0.08,True
favourite artists,33,0.08,True
rock gaucho,33,0.08,True
aaliyah,32,0.08,True
kiley dean,32,0.08,True
excellent reason for crying,32,0.08,True
my pleasuredome,32,0.08,True
good mood music,32,0.08,True
just chillin,32,0.08,True
experimental rock,32,0.08,True
ginuwine,32,0.08,True
country pop,32,0.08,True
mexican,32,0.08,True
germany,32,0.08,True
deep-clash,32,0.08,True
favorite song,32,0.08,True
beats,32,0.08,True
rafa,32,0.08,True
british invasion,32,0.08,True
charmed,31,0.07,True
rhythmalizm,31,0.07,True
touching song,31,0.07,True
autumn,31,0.07,True
synth-pop,31,0.07,True
pagan,31,0.07,True
janet jackson,31,0.07,True
80s hardcore,31,0.07,True
winds of soul,31,0.07,True
superb,31,0.07,True
fascinating,31,0.07,True
avant garde,31,0.07,True
1966,31,0.07,True
colors,31,0.07,True
songs that remind me of summer 07-08,31,0.07,True
electric blues,31,0.07,True
new york shit,31,0.07,True
adoracao,30,0.06,True
wtf,30,0.06,True
todaysart,30,0.06,True
hiphop,30,0.06,True
pastel,30,0.06,True
deep house,30,0.06,True
african,30,0.06,True
approfondire,30,0.06,True
the pedofinder general,30,0.06,True
good mood songs,30,0.06,True
humor,30,0.06,True
female artists,30,0.06,True
lostfreeq,30,0.06,True
chef musinum,30,0.06,True
dream,30,0.06,True
country rock,30,0.06,True
mistagged track,30,0.06,True
kickass,29,0.06,True
british punk,29,0.06,True
deepclash,29,0.06,True
nintendocore,29,0.06,True
makes me wanna dance,29,0.06,True
synthpop artists,29,0.06,True
witch house,29,0.06,True
zadrotstvo,29,0.06,True
anarchist,29,0.06,True
psychosis,29,0.06,True
holiday soundtrack,29,0.06,True
dance - trance,29,0.06,True
late night tunes,29,0.06,True
dope cut,29,0.06,True
light trip-hop,29,0.06,True
beast,29,0.06,True
transport,29,0.06,True
new beat,29,0.06,True
ezbeni,29,0.06,True
rock en espanol,29,0.06,True
1990s,29,0.06,True
perfection,29,0.06,True
politeconomist realife soundtrack,29,0.06,True
house music,28,0.05,True
1981 songs,28,0.05,True
1967,28,0.05,True
ill,28,0.05,True
riot grrl,28,0.05,True
minimal techno,28,0.05,True
progressive house,28,0.05,True
banger,28,0.05,True
dancehall,28,0.05,True
2005,28,0.05,True
freestyle,28,0.05,True
i want to dance in my underwear,28,0.05,True
bebop,28,0.05,True
ottoman,28,0.05,True
2000s,28,0.05,True
breakbeat,28,0.05,True
symphonic prog,28,0.05,True
witty,27,0.05,True
surf rock,27,0.05,True
dance 00s,27,0.05,True
mean,27,0.05,True
prog metal,27,0.05,True
raw,27,0.05,True
funky,27,0.05,True
good,27,0.05,True
top100,27,0.05,True
bouncy,27,0.05,True
video game music,27,0.05,True
harsh ebm,27,0.05,True
best songs of the 90s,27,0.05,True
1982 songs,27,0.05,True
russia,27,0.05,True
lastfm,27,0.05,True
beatdown,27,0.05,True
mine,27,0.05,True
italian progressive rock,27,0.05,True
dutch,27,0.05,True
crossover,27,0.05,True
opera,27,0.05,True
1983 songs,27,0.05,True
dnb,27,0.05,True
great memories with my geeem,27,0.05,True
my indie friends,27,0.05,True
1964,27,0.05,True
true norwegian black metal,26,0.04,True
1970's,26,0.04,True
hoy tengo ganas de llorar,26,0.04,True
wish list,26,0.04,True
sing along,26,0.04,True
numbers,26,0.04,True
ogonj,26,0.04,True
quirky,26,0.04,True
amazing voice,26,0.04,True
turkce,26,0.04,True
blitz playlist,26,0.04,True
flamenco,26,0.04,True
dark disco,26,0.04,True
world fusion,26,0.04,True
post modern,26,0.04,True
viaje de egresados,26,0.04,True
minimalism,26,0.04,True
bitch,26,0.04,True
vocalista feminimo,26,0.04,True
summer time,26,0.04,True
top,26,0.04,True
1965,26,0.04,True
queen of pop,26,0.04,True
1990,26,0.04,True
complete sentences,25,0.03,True
europe,25,0.03,True
freak folk,25,0.03,True
symphonic black metal,25,0.03,True
real hip-hop,25,0.03,True
nu-jazz,25,0.03,True
traditional,25,0.03,True
queen,25,0.03,True
chicago blues,25,0.03,True
crunk,25,0.03,True
driving music,25,0.03,True
playlist,25,0.03,True
novelty,25,0.03,True
harmonica,25,0.03,True
modern country,25,0.03,True
independent,25,0.03,True
q sexy,25,0.03,True
coisa de deus,25,0.03,True
powerful voice,25,0.03,True
all time hit,25,0.03,True
assertive,25,0.03,True
deathrock,25,0.03,True
best songs of the 60s,25,0.03,True
best songs ever,25,0.03,True
guerilla,25,0.03,True
kelly rowland,25,0.03,True
surf,25,0.03,True
danish,25,0.03,True
1970s,25,0.03,True
monica,25,0.03,True
animals,25,0.03,True
adult contemporary,25,0.03,True
grime,25,0.03,True
synthpop songs,25,0.03,True
downbeat,24,0.03,True
male vocals,24,0.03,True
song with samples,24,0.03,True
drive,24,0.03,True
musikfuerrundumdieuhr,24,0.03,True
black music 4 black ppl listened 2 by white hipsters,24,0.03,True
hooooooooot,24,0.03,True
smooth jazz,24,0.03,True
dirty south,24,0.03,True
crust,24,0.03,True
drugs,24,0.03,True
hecho en mexico,24,0.03,True
divas,24,0.03,True
good stuff,24,0.03,True
james bond,24,0.03,True
po-kraftwerkski,24,0.03,True
darkstep,24,0.03,True
psychill,24,0.03,True
bubba sparxxx,24,0.03,True
fiya,24,0.03,True
favorite artists,24,0.03,True
poetry,24,0.03,True
eighties,24,0.03,True
spanish metal,23,0.02,True
european,23,0.02,True
warp,23,0.02,True
in the witch house family,23,0.02,True
better than lady gaga,23,0.02,True
abstract,23,0.02,True
obscure,23,0.02,True
arkadi,23,0.02,True
favourite bands,23,0.02,True
ballads,23,0.02,True
berep guest dj closedmouth 239645,23,0.02,True
punkabilly,23,0.02,True
the songs that make me sick with butterflies,23,0.02,True
hand claps,23,0.02,True
lyricism,23,0.02,True
chillwave,23,0.02,True
krautrock,23,0.02,True
anti-witch house,22,0.02,True
africa,22,0.02,True
true black metal,22,0.02,True
frauen und technik,22,0.02,True
1969,22,0.02,True
violin,22,0.02,True
tron,22,0.02,True
depressive black metal,22,0.02,True
tech - prog death,22,0.02,True
under 2000 listeners,22,0.02,True
guitar blues,22,0.02,True
blue,22,0.02,True
rhymez,22,0.02,True
good bands,22,0.02,True
demo,22,0.02,True
es pop mama,22,0.02,True
melodic metalcore,22,0.02,True
60's,22,0.02,True
in the chillwave family,22,0.02,True
death,22,0.02,True
neofolk,22,0.02,True
goth rock,22,0.02,True
bad day,22,0.02,True
norwegian black metal,21,0.01,True
approved by goku,21,0.01,True
top 20,21,0.01,True
life on mars,21,0.01,True
rockville ca,21,0.01,True
nasheed,21,0.01,True
approved by prince vegeta,21,0.01,True
turkish rock,21,0.01,True
2010s,21,0.01,True
groove,21,0.01,True
just makes you feel good,21,0.01,True
90s dance,21,0.01,True
boybands,21,0.01,True
rihanna,21,0.01,True
1984 songs,21,0.01,True
shoegazer,21,0.01,True
cocksucker,21,0.01,True
1968,21,0.01,True
female vocal,21,0.01,True
math metal,21,0.01,True
dance 90s,21,0.01,True
fav female singers,20,0.01,True
german hiphop,20,0.01,True
us,20,0.01,True
christina aguilera,20,0.01,True
psicodelia,20,0.01,True
the oc,20,0.01,True
jazzy,20,0.01,True
1980's,20,0.01,True
free jazz,20,0.01,True
1988,20,0.01,True
songs i sing with my mom,20,0.01,True
women,20,0.01,True
4ad,20,0.01,True
mariah carey,20,0.01,True
chill out,20,0.01,True
1986,20,0.01,True
girls names,20,0.01,True
new discovery,20,0.01,True
acid,20,0.01,True
pet shop boys,20,0.01,True
arena rock,20,0.01,True
male and female,20,0.01,True
melodic black metal,20,0.01,True
latin rock,20,0.01,True
pretty little liars,20,0.01,True
horror punk,19,-0.0,True
makes me wanna kick someones ass,19,-0.0,True
hello project,19,-0.0,True
big beat,19,-0.0,True
fucking amazing,19,-0.0,True
tambourine,19,-0.0,True
1994,19,-0.0,True
orchestral,19,-0.0,True
hey song youre so fucking cute,19,-0.0,True
haunting,19,-0.0,True
modern metal,19,-0.0,True
watched live,19,-0.0,True
harmonica blues,19,-0.0,True
broken-clash,19,-0.0,True
80s i like,19,-0.0,True
beautiful music,19,-0.0,True
totalmente foda,19,-0.0,True
guys i would fuck,19,-0.0,True
aussie,19,-0.0,True
bazarov,19,-0.0,True
horrorpunk,19,-0.0,True
girl groups,19,-0.0,True
boyband,19,-0.0,True
american artists,19,-0.0,True
japanese music,19,-0.0,True
europop,19,-0.0,True
contemporary jazz,19,-0.0,True
rhythmic noise,19,-0.0,True
instrumental blues,19,-0.0,True
romantica,19,-0.0,True
2003,19,-0.0,True
raven girls top 20,19,-0.0,True
britrock,19,-0.0,True
phoda,19,-0.0,True
finnish metal,19,-0.0,True
morning,19,-0.0,True
neo-electro,19,-0.0,True
80s metal,19,-0.0,True
pop-punk,19,-0.0,True
drinking,18,-0.01,True
united kingdom,18,-0.01,True
norway,18,-0.01,True
sixties,18,-0.01,True
vaguely homosexual,18,-0.01,True
cops,18,-0.01,True
60s pop,18,-0.01,True
these guys fucking rule,18,-0.01,True
female electronic,18,-0.01,True
nineties,18,-0.01,True
underground,18,-0.01,True
katy perry,18,-0.01,True
buy this,18,-0.01,True
inspirational,18,-0.01,True
life unexpected,18,-0.01,True
seen in concert,18,-0.01,True
very kvlt,18,-0.01,True
new album loves,18,-0.01,True
deconstruction,18,-0.01,True
beatiful,18,-0.01,True
fuck yeah,18,-0.01,True
songwriters,18,-0.01,True
1960's,18,-0.01,True
words are cheap to describe my love,18,-0.01,True
puta de mierda ojala y te mueras con un pinche dildo electrico atorado en tu ronosa pucha,18,-0.01,True
new,18,-0.01,True
dj gold,18,-0.01,True
xmas,18,-0.01,True
turntablism,18,-0.01,True
religion,18,-0.01,True
desert,18,-0.01,True
rainy day,18,-0.01,True
cybergrind,18,-0.01,True
titans,17,-0.01,True
choral,17,-0.01,True
slowcore,17,-0.01,True
loved tracks,17,-0.01,True
brooklyn,17,-0.01,True
blue-eyed soul,17,-0.01,True
1984,17,-0.01,True
ultimate rock ballads,17,-0.01,True
all time faves,17,-0.01,True
paramore,17,-0.01,True
latino,17,-0.01,True
days,17,-0.01,True
italian pop,17,-0.01,True
tamir,17,-0.01,True
1960s,17,-0.01,True
polecane,17,-0.01,True
crime,17,-0.01,True
best free stuff,17,-0.01,True
slow,17,-0.01,True
electro house,17,-0.01,True
avant-garde metal,17,-0.01,True
sweden,17,-0.01,True
japanese pop,17,-0.01,True
musica popular brasileira,17,-0.01,True
best bands,17,-0.01,True
australia,17,-0.01,True
ladytronica,17,-0.01,True
makes me cry,17,-0.01,True
sahara,17,-0.01,True
folk-rock,17,-0.01,True
lesser known yet streamable artists,17,-0.01,True
fashionably punctuated band,17,-0.01,True
crap,17,-0.01,True
music for my soul,17,-0.01,True
witch chill,17,-0.01,True
b-sides,17,-0.01,True
indierock,17,-0.01,True
seth cohen would listen to this,17,-0.01,True
music,17,-0.01,True
i love,17,-0.01,True
forever in heart,17,-0.01,True
great voice,17,-0.01,True
deutschland,16,-0.02,True
1980 songs,16,-0.02,True
italy,16,-0.02,True
chaotic hardcore,16,-0.02,True
funk rock,16,-0.02,True
a god on the earth,16,-0.02,True
1985 songs,16,-0.02,True
roots reggae,16,-0.02,True
miley cyrus,16,-0.02,True
bruno likes this song,16,-0.02,True
new jersey,16,-0.02,True
dazs favourites,16,-0.02,True
witch-clash,16,-0.02,True
terrorbanana,16,-0.02,True
techno brut,16,-0.02,True
wales,16,-0.02,True
spanish rock,16,-0.02,True
wake up,16,-0.02,True
smash it up,16,-0.02,True
mute records,16,-0.02,True
ethno,16,-0.02,True
countries,16,-0.02,True
absolute disco,16,-0.02,True
brit rock,16,-0.02,True
eurovision,16,-0.02,True
french pop,16,-0.02,True
1950s,16,-0.02,True
i am a party girl here is my soundtrack,16,-0.02,True
old school death metal,16,-0.02,True
70s pop,16,-0.02,True
uplifting,16,-0.02,True
i love dancing about to this like a complete and utter idiot,16,-0.02,True
under two minutes,16,-0.02,True
2004,16,-0.02,True
albums i own,16,-0.02,True
wake up song,16,-0.02,True
medieval,16,-0.02,True
neoclassical,16,-0.02,True
1970,16,-0.02,True
lastfm hipster artists,16,-0.02,True
tuareg,16,-0.02,True
greek,16,-0.02,True
swedish metal,16,-0.02,True
american punk,16,-0.02,True
rock ballad,16,-0.02,True
favourite albums,16,-0.02,True
songs to make florchuchizz cry,16,-0.02,True
david guetta,16,-0.02,True
