name,listening count,Z-score,IQR_meth
Escape The Fate,71434,1.98,True
Lifehouse,71250,1.97,True
Good Charlotte,70828,1.96,True
Fresno,70589,1.96,True
John Mayer,70360,1.95,True
Children of Bodom,70314,1.95,True
Queens of the Stone Age,69833,1.93,True
Gorillaz,69629,1.93,True
The Birthday Massacre,68917,1.91,True
Three Days Grace,68306,1.89,True
Ciara,67979,1.88,True
Cheryl Cole,67822,1.87,True
New Order,67259,1.86,True
OneRepublic,67187,1.86,True
Mylène Farmer,66688,1.84,True
Gwen Stefani,65902,1.82,True
Dream Theater,65886,1.82,True
Regina Spektor,65641,1.81,True
Tokio Hotel,65344,1.8,True
Bob Dylan,65145,1.8,True
Incubus,64897,1.79,True
Jesse McCartney,64596,1.78,True
SHINee,64256,1.77,True
t.A.T.u.,63661,1.75,True
David Guetta,63582,1.75,True
Robyn,63510,1.75,True
Deftones,62933,1.73,True
Pantera,62838,1.73,True
Arcade Fire,62735,1.72,True
Slayer,62107,1.71,True
Jonas Brothers,61849,1.7,True
Kerli,61748,1.7,True
The Used,61679,1.69,True
As I Lay Dying,61163,1.68,True
浜崎あゆみ,60167,1.65,True
Crystal Castles,59938,1.64,True
Elliott Smith,59821,1.64,True
Sugababes,59353,1.63,True
The Offspring,58965,1.61,True
The Who,58438,1.6,True
Pixie Lott,58312,1.59,True
Korn,58163,1.59,True
Snow Patrol,57847,1.58,True
Akon,57537,1.57,True
Maroon 5,57009,1.56,True
Timbaland,56599,1.54,True
Tegan and Sara,56006,1.53,True
Dave Gahan,55944,1.53,True
Sum 41,55683,1.52,True
Enter Shikari,55642,1.52,True
Cobra Starship,55463,1.51,True
R.E.M.,55137,1.5,True
The Saturdays,54909,1.5,True
Robbie Williams,54825,1.49,True
BoA,54663,1.49,True
Goldfrapp,54597,1.49,True
Mika,53918,1.47,True
A Perfect Circle,53915,1.47,True
Nicki Minaj,53353,1.45,True
Yeah Yeah Yeahs,53054,1.44,True
Breaking Benjamin,52706,1.43,True
IAMX,52137,1.41,True
Underoath,51988,1.41,True
Aly & AJ,51641,1.4,True
Anahí,51602,1.4,True
Bullet for My Valentine,51566,1.4,True
Lil' Wayne,50645,1.37,True
Pitty,50241,1.36,True
ABBA,50132,1.36,True
Belle and Sebastian,49881,1.35,True
The National,49647,1.34,True
Tori Amos,49603,1.34,True
Scissor Sisters,49521,1.34,True
Natalie Imbruglia,49290,1.33,True
Alice in Chains,49014,1.32,True
Ellie Goulding,48631,1.31,True
Morrissey,48397,1.3,True
Röyksopp,47993,1.29,True
Kasabian,47200,1.27,True
Garbage,46606,1.25,True
Atreyu,46466,1.25,True
Jeffree Star,46370,1.24,True
Lostprophets,46295,1.24,True
Damien Rice,46061,1.24,True
Kate Nash,45886,1.23,True
Tangerine Dream,45769,1.23,True
Judas Priest,45672,1.22,True
Sonata Arctica,45666,1.22,True
The White Stripes,45355,1.22,True
Disturbed,44959,1.2,True
Aerosmith,44878,1.2,True
Moby,44852,1.2,True
Usher,44673,1.2,True
Simple Plan,44240,1.18,True
Air,44230,1.18,True
KISS,44187,1.18,True
RBD,44182,1.18,True
Asking Alexandria,44151,1.18,True
Yann Tiersen,43972,1.17,True
Portishead,43961,1.17,True
The xx,43860,1.17,True
nevershoutnever!,43710,1.17,True
Apocalyptica,43644,1.16,True
Papa Roach,43559,1.16,True
Dave Matthews Band,43536,1.16,True
Katatonia,43458,1.16,True
Cocteau Twins,43440,1.16,True
Hadouken!,43303,1.15,True
Bon Jovi,43252,1.15,True
M.I.A.,42418,1.13,True
Miranda Lambert,42363,1.13,True
Bat for Lashes,42305,1.13,True
Massive Attack,42195,1.12,True
Cher,41552,1.1,True
Daughtry,41447,1.1,True
Tom Waits,41316,1.1,True
Nickelback,41094,1.09,True
Tarja,41028,1.09,True
Vanessa Hudgens,40837,1.08,True
Deep Purple,40664,1.08,True
Colbie Caillat,40510,1.07,True
The Prodigy,40473,1.07,True
Killswitch Engage,40428,1.07,True
Jason Mraz,40288,1.07,True
Animal Collective,40234,1.06,True
Modest Mouse,40203,1.06,True
Duffy,40042,1.06,True
Jack Johnson,39882,1.05,True
Martin L. Gore,39658,1.05,True
Sufjan Stevens,39491,1.04,True
Dido,39172,1.03,True
Natasha Bedingfield,39111,1.03,True
And One,38949,1.03,True
Cansei de Ser Sexy,38781,1.02,True
No Doubt,38608,1.02,True
Bushido,38392,1.01,True
Jessica Simpson,38190,1.0,True
Beirut,37812,0.99,True
The Fray,37800,0.99,True
Brand New,37663,0.99,True
Electric Light Orchestra,37655,0.99,True
Beck,37576,0.99,True
The Libertines,37532,0.99,True
Jay-Z,37521,0.99,True
Bloc Party,37500,0.98,True
Faith No More,37375,0.98,True
Silverchair,37287,0.98,True
Johnny Cash,37211,0.98,True
Boys Like Girls,37136,0.97,True
Owl City,36911,0.97,True
Manic Street Preachers,36669,0.96,True
The All-American Rejects,36370,0.95,True
Engenheiros do Hawaii,35978,0.94,True
Cat Power,35947,0.94,True
Ozzy Osbourne,35924,0.94,True
Anathema,35700,0.93,True
Cascada,35347,0.92,True
Viking Quest,35323,0.92,True
Alesana,35258,0.92,True
Vangelis,35182,0.92,True
Vampire Weekend,35056,0.91,True
Elton John,34976,0.91,True
Norah Jones,34934,0.91,True
Destiny's Child,34746,0.9,True
Rush,34641,0.9,True
Alexisonfire,34637,0.9,True
blessthefall,34500,0.9,True
Marc Almond,34449,0.9,True
Aphex Twin,34321,0.89,True
Sonic Youth,34222,0.89,True
Travis,34165,0.89,True
La Roux,34090,0.88,True
Little Boots,34002,0.88,True
Ladytron,33892,0.88,True
The Clash,33757,0.87,True
Mötley Crüe,33624,0.87,True
Amerie,33603,0.87,True
NOFX,33559,0.87,True
Shania Twain,33380,0.86,True
Chris Brown,33055,0.85,True
Dead by April,33037,0.85,True
Johnny Hallyday,32995,0.85,True
Frank Zappa,32919,0.85,True
Misfits,32827,0.85,True
Kid Cudi,32234,0.83,True
God Is an Astronaut,32173,0.83,True
Weezer,32136,0.83,True
Whitney Houston,32020,0.82,True
Suede,31803,0.82,True
Motörhead,31791,0.82,True
Ace of Base,31704,0.81,True
Mando Diao,31516,0.81,True
Rage Against the Machine,31514,0.81,True
安室奈美恵,31421,0.81,True
Skid Row,31404,0.81,True
The Cranberries,31367,0.8,True
Spice Girls,31309,0.8,True
Hans Zimmer,31254,0.8,True
宇多田ヒカル,31157,0.8,True
Patrick Wolf,31086,0.8,True
Bad Religion,31078,0.8,True
Grouper,31073,0.8,True
Billy Talent,31048,0.8,True
Jimmy Eat World,30983,0.79,True
Tyler Adam,30614,0.78,True
Band of Horses,30543,0.78,True
Skillet,30524,0.78,True
Belinda,30446,0.78,True
Dashboard Confessional,30349,0.77,True
Sophie Ellis-Bextor,30324,0.77,True
Dio,30208,0.77,True
Blind Guardian,30095,0.77,True
Klaxons,30083,0.77,True
George Michael,29944,0.76,True
Darren Criss,29798,0.76,True
Jessie J,29701,0.76,True
Amon Amarth,29399,0.75,True
Mindless Self Indulgence,29358,0.75,True
The Police,29138,0.74,True
3 Doors Down,29041,0.74,True
The Knife,28956,0.73,True
Akira Yamaoka,28823,0.73,True
Attack Attack!,28672,0.73,True
Helloween,28262,0.71,True
Taking Back Sunday,28262,0.71,True
Breathe Carolina,28256,0.71,True
Dance Gavin Dance,28243,0.71,True
Kings of Convenience,28188,0.71,True
The Hives,28143,0.71,True
Frank Sinatra,28125,0.71,True
Metric,28106,0.71,True
Michelle Branch,28064,0.71,True
Pixies,28038,0.71,True
The Last Shadow Puppets,28029,0.71,True
Busta Rhymes,28020,0.71,True
Anberlin,27969,0.71,True
Hey Monday,27941,0.7,True
Hurts,27871,0.7,True
The Cardigans,27818,0.7,True
Legião Urbana,27680,0.7,True
T.I.,27607,0.69,True
Sia,27597,0.69,True
Girlicious,27570,0.69,True
Kaiser Chiefs,27569,0.69,True
Gloria,27321,0.69,True
Dangerous Muse,27321,0.69,True
Marina & the Diamonds,27304,0.69,True
Limp Bizkit,27179,0.68,True
The Mars Volta,27175,0.68,True
Róisín Murphy,27153,0.68,True
Simple Minds,27126,0.68,True
Black Label Society,26972,0.68,True
Katharine McPhee,26762,0.67,True
Hannah Montana,26748,0.67,True
Bush,26643,0.67,True
Keri Hilson,26534,0.66,True
VersaEmerge,26329,0.66,True
Fergie,26323,0.66,True
Flo Rida,26168,0.65,True
Silverstein,26071,0.65,True
Digitalism,26048,0.65,True
BIG BANG,25855,0.64,True
She & Him,25748,0.64,True
Pain of Salvation,25719,0.64,True
The American Dollar,25621,0.64,True
Dark Tranquillity,25567,0.63,True
A Skylit Drive,25524,0.63,True
Paul McCartney,25453,0.63,True
Kelis,25380,0.63,True
Ennio Morricone,25239,0.63,True
Iced Earth,25213,0.62,True
Sara Bareilles,25153,0.62,True
Camel,25037,0.62,True
Enya,25020,0.62,True
Sepultura,24811,0.61,True
Scorpions,24799,0.61,True
Angels & Airwaves,24781,0.61,True
Kelly Rowland,24585,0.61,True
Jimi Hendrix,24567,0.61,True
Joss Stone,24546,0.6,True
Katie Melua,24544,0.6,True
Bob Marley,24482,0.6,True
Explosions in the Sky,24476,0.6,True
Luciano Ligabue,24151,0.59,True
A Fine Frenzy,24133,0.59,True
Bruce Dickinson,24109,0.59,True
James Blunt,23910,0.59,True
Phoenix,23881,0.59,True
Siouxsie and the Banshees,23851,0.58,True
Kris Allen,23824,0.58,True
Trivium,23772,0.58,True
Saosin,23743,0.58,True
Nas,23652,0.58,True
JoJo,23611,0.58,True
City and Colour,23611,0.58,True
Calvin Harris,23497,0.57,True
Michel Teló,23479,0.57,True
Bruce Springsteen,23472,0.57,True
Rytmus,23462,0.57,True
KT Tunstall,23423,0.57,True
Laura Pausini,23397,0.57,True
Kreator,23324,0.57,True
All That Remains,23282,0.57,True
소녀시대,23242,0.57,True
The Mountain Goats,23212,0.57,True
AFI,23154,0.56,True
John Lennon,23102,0.56,True
The Black Keys,23022,0.56,True
Soilwork,22873,0.56,True
Arch Enemy,22865,0.56,True
The Beach Boys,22806,0.55,True
Chico Buarque,22781,0.55,True
Beach House,22761,0.55,True
The Fratellis,22756,0.55,True
múm,22661,0.55,True
Electric President,22603,0.55,True
Orchestral Manoeuvres in the Dark,22584,0.55,True
The Ting Tings,22518,0.55,True
Lamb of God,22441,0.54,True
Shayne Ward,22365,0.54,True
The Velvet Underground,22356,0.54,True
Editors,22321,0.54,True
Gary Numan,22299,0.54,True
Lights,22138,0.53,True
Broken Social Scene,22039,0.53,True
Restart,21986,0.53,True
Feist,21972,0.53,True
Deerhunter,21943,0.53,True
Zемфира,21772,0.52,True
Grizzly Bear,21504,0.52,True
Anastacia,21462,0.51,True
Soft Cell,21369,0.51,True
Beastie Boys,21268,0.51,True
Jethro Tull,21204,0.51,True
The Chemical Brothers,21169,0.51,True
Babyshambles,21160,0.51,True
Sandy Leah,21116,0.5,True
Wu-Tang Clan,21097,0.5,True
Dulce María,21092,0.5,True
M83,21065,0.5,True
Switchfoot,21052,0.5,True
Bruno Mars,20997,0.5,True
Lynyrd Skynyrd,20962,0.5,True
Yellowcard,20893,0.5,True
Parkway Drive,20874,0.5,True
We Butter The Bread With Butter,20823,0.5,True
Lady Antebellum,20760,0.49,True
Fiona Apple,20697,0.49,True
White Lies,20674,0.49,True
Justice,20670,0.49,True
Ana Carolina,20662,0.49,True
The Shins,20635,0.49,True
Prince,20415,0.48,True
Sneaker Pimps,20402,0.48,True
Burial,20392,0.48,True
The Radio Dept.,20366,0.48,True
Natalia Kills,20337,0.48,True
Forfun,20292,0.48,True
Hole,20257,0.48,True
Kat DeLuna,20231,0.48,True
Recoil,20209,0.48,True
Van Halen,20205,0.48,True
De/Vision,20203,0.48,True
Thrice,20123,0.48,True
Roxette,20046,0.47,True
Jeff Buckley,19999,0.47,True
Black Rebel Motorcycle Club,19988,0.47,True
Emilie Autumn,19846,0.47,True
Pendulum,19783,0.47,True
Heidi Montag,19774,0.46,True
George Harrison,19756,0.46,True
Seether,19736,0.46,True
65daysofstatic,19654,0.46,True
Japan,19647,0.46,True
Eric Clapton,19637,0.46,True
The Human League,19603,0.46,True
Funeral for a Friend,19454,0.46,True
Chiodos,19425,0.45,True
Def Leppard,19407,0.45,True
Sade,19391,0.45,True
Keyshia Cole,19342,0.45,True
Alice Cooper,19335,0.45,True
Alexandra Burke,19328,0.45,True
August Burns Red,19260,0.45,True
Imogen Heap,19176,0.45,True
Ultravox,19131,0.45,True
NX Zero,19046,0.44,True
The Frames,18964,0.44,True
Lacuna Coil,18911,0.44,True
Wilco,18905,0.44,True
Tiësto,18885,0.44,True
INXS,18793,0.44,True
Morcheeba,18787,0.44,True
Audioslave,18727,0.43,True
Soundgarden,18719,0.43,True
PJ Harvey,18706,0.43,True
Falco,18699,0.43,True
Perfume,18624,0.43,True
Darin,18586,0.43,True
Janis Joplin,18578,0.43,True
Kamelot,18556,0.43,True
Peaches,18531,0.43,True
Iron & Wine,18451,0.43,True
Westlife,18450,0.43,True
Creedence Clearwater Revival,18449,0.43,True
King Crimson,18426,0.43,True
Mary J. Blige,18404,0.42,True
Manowar,18315,0.42,True
Tears for Fears,18280,0.42,True
Story of the Year,18213,0.42,True
Pidżama Porno,18160,0.42,True
Cut Copy,18136,0.42,True
O.S.T.R.,18045,0.41,True
Blondie,18041,0.41,True
Josh Groban,18026,0.41,True
Neil Young,17930,0.41,True
4minute,17926,0.41,True
Dannii Minogue,17921,0.41,True
The Residents,17896,0.41,True
Stone Sour,17862,0.41,True
Devendra Banhart,17806,0.41,True
Wolfgang Amadeus Mozart,17786,0.41,True
Gojira,17754,0.41,True
Dead Fish,17733,0.4,True
B.o.B,17718,0.4,True
ムック,17707,0.4,True
Thom Yorke,17674,0.4,True
Mogwai,17626,0.4,True
Serj Tankian,17594,0.4,True
Stereophonics,17561,0.4,True
G-Unit,17523,0.4,True
Ludwig van Beethoven,17492,0.4,True
Skinny Puppy,17475,0.4,True
Kate Bush,17408,0.4,True
Fleet Foxes,17353,0.39,True
Howard Shore,17265,0.39,True
Brooke Fraser,17231,0.39,True
The Streets,17228,0.39,True
Kate Voegele,17200,0.39,True
The Rasmus,17190,0.39,True
Sonic Syndicate,17151,0.39,True
Mandy Moore,17142,0.39,True
Suicide Silence,17125,0.39,True
Madlib,17118,0.39,True
Telefon Tel Aviv,17096,0.39,True
Anal Cunt,17092,0.39,True
Hot Chip,17092,0.39,True
of Montreal,17068,0.39,True
Paradise Lost,16937,0.38,True
She Wants Revenge,16857,0.38,True
J Dilla,16848,0.38,True
The Kinks,16810,0.38,True
Static-X,16794,0.38,True
Alphaville,16765,0.38,True
Hanson,16729,0.38,True
Kraftwerk,16706,0.37,True
Dead Can Dance,16658,0.37,True
Serge Gainsbourg,16649,0.37,True
Simon & Garfunkel,16625,0.37,True
Brad Paisley,16612,0.37,True
Mercyful Fate,16601,0.37,True
The Red Jumpsuit Apparatus,16581,0.37,True
Riverside,16561,0.37,True
Eyes Set to Kill,16561,0.37,True
Black Veil Brides,16544,0.37,True
Sublime,16533,0.37,True
Sandra,16516,0.37,True
Rilo Kiley,16506,0.37,True
Mastodon,16477,0.37,True
Ezginin Günlüğü,16360,0.36,True
Mew,16324,0.36,True
Delta Goodrem,16320,0.36,True
Ben Folds,16312,0.36,True
Toni Braxton,16307,0.36,True
Metro Station,16155,0.36,True
Nelly,16116,0.36,True
Epica,16071,0.36,True
Edguy,16069,0.36,True
P.O.D.,16056,0.36,True
The Word Alive,16035,0.36,True
Nick Cave and the Bad Seeds,16022,0.35,True
John Frusciante,16004,0.35,True
DICKY DIXON LAKE RECORDS,15952,0.35,True
Johann Sebastian Bach,15947,0.35,True
Angra,15946,0.35,True
Hooverphonic,15927,0.35,True
King Diamond,15888,0.35,True
Drake,15883,0.35,True
Hillsong United,15843,0.35,True
Blutengel,15772,0.35,True
Агата Кристи,15704,0.35,True
Raimundos,15692,0.35,True
Darren Hayes,15661,0.34,True
Ricky Martin,15647,0.34,True
David Cook,15634,0.34,True
Психея,15627,0.34,True
The Kills,15615,0.34,True
Rob Zombie,15613,0.34,True
Thievery Corporation,15611,0.34,True
Pitbull,15593,0.34,True
Sugarland,15591,0.34,True
Take That,15570,0.34,True
The Classic Crime,15557,0.34,True
Maria Mena,15533,0.34,True
Missy Elliott,15473,0.34,True
Wiz Khalifa,15418,0.34,True
The Subways,15413,0.34,True
Cassie,15405,0.34,True
Corinne Bailey Rae,15351,0.34,True
Dicky Dixon,15345,0.33,True
e-gens,15335,0.33,True
Capsule,15289,0.33,True
Blue,15267,0.33,True
Cradle of Filth,15166,0.33,True
Autechre,15119,0.33,True
Blackfield,15113,0.33,True
John Williams,15087,0.33,True
Infected Mushroom,15030,0.33,True
Taio Cruz,15014,0.33,True
dredg,14994,0.32,True
Hatebreed,14991,0.32,True
Vanessa Carlton,14926,0.32,True
Pleq,14907,0.32,True
The Distillers,14885,0.32,True
Roger Waters,14856,0.32,True
Jay Sean,14846,0.32,True
2Pac,14813,0.32,True
CocoRosie,14810,0.32,True
The Script,14790,0.32,True
Melanie C,14766,0.32,True
Chevelle,14748,0.32,True
Genesis,14723,0.32,True
My Bloody Valentine,14721,0.32,True
The Roots,14713,0.32,True
Hammock,14712,0.32,True
Uriah Heep,14704,0.32,True
Frankmusik,14703,0.32,True
Death,14694,0.32,True
Moptop,14654,0.31,True
You Me At Six,14646,0.31,True
Ashanti,14610,0.31,True
Bonobo,14601,0.31,True
Roxy Music,14566,0.31,True
BrokeNCYDE,14557,0.31,True
Simon Curtis,14536,0.31,True
Whitesnake,14523,0.31,True
Danity Kane,14522,0.31,True
Atlas Sound,14521,0.31,True
Yazoo,14519,0.31,True
Pink,14512,0.31,True
Arcadia,14474,0.31,True
Protest The Hero,14445,0.31,True
Forever the Sickest Kids,14434,0.31,True
Danny Elfman,14382,0.31,True
New Found Glory,14348,0.31,True
Ne-Yo,14332,0.31,True
Capital Inicial,14327,0.31,True
Blake Lewis,14320,0.3,True
Eurythmics,14308,0.3,True
Clint Mansell,14307,0.3,True
Miranda Cosgrove,14305,0.3,True
The Academy Is...,14303,0.3,True
Blonde Redhead,14268,0.3,True
Jean-Michel Jarre,14259,0.3,True
Ensiferum,14254,0.3,True
Inna,14234,0.3,True
Bauhaus,14220,0.3,True
Unheilig,14209,0.3,True
Neuro Dubel,14203,0.3,True
Say Anything,14194,0.3,True
George Strait,14191,0.3,True
Anthrax,14163,0.3,True
Minus the Bear,14157,0.3,True
Emarosa,14116,0.3,True
The Decemberists,14090,0.3,True
W.A.S.P.,14087,0.3,True
RICHARD DIXON-COMPOSER,14082,0.3,True
Ice Cube,14024,0.3,True
Bloodbath,13988,0.3,True
Cute Is What We Aim For,13975,0.29,True
Mobb Deep,13960,0.29,True
Fear Factory,13906,0.29,True
Nitzer Ebb,13896,0.29,True
Therion,13894,0.29,True
Converge,13892,0.29,True
Plain White T's,13873,0.29,True
Sopor Aeternus & The Ensemble of Shadows,13816,0.29,True
Michael Bublé,13813,0.29,True
Alexandre Desplat,13806,0.29,True
YUI,13762,0.29,True
Takanashi Yasuharu,13759,0.29,True
Adriana Calcanhotto,13716,0.29,True
The Verve,13693,0.29,True
Rancid,13661,0.29,True
Dire Straits,13640,0.28,True
September,13569,0.28,True
Antony and the Johnsons,13520,0.28,True
The Maine,13504,0.28,True
Uffie,13501,0.28,True
Lolene,13498,0.28,True
Mayday Parade,13473,0.28,True
Paris Hilton,13461,0.28,True
2NE1,13418,0.28,True
Apparat,13415,0.28,True
Lykke Li,13407,0.28,True
Hollywood Undead,13405,0.28,True
Amy Macdonald,13401,0.28,True
Vanessa da Mata,13363,0.28,True
The Corrs,13340,0.28,True
Superchic[k],13300,0.27,True
ATB,13295,0.27,True
Selena Gomez,13234,0.27,True
Rufus Wainwright,13229,0.27,True
The Flashbulb,13226,0.27,True
Flying Lotus,13178,0.27,True
Anti-Flag,13151,0.27,True
The Postal Service,13112,0.27,True
Ryan Adams,13084,0.27,True
I See Stars,13075,0.27,True
Type O Negative,13068,0.27,True
Ayria,13036,0.27,True
Ted Leo and The Pharmacists,12951,0.26,True
Janelle Monáe,12933,0.26,True
Matchbox Twenty,12876,0.26,True
Talk Talk,12833,0.26,True
Client,12828,0.26,True
Marillion,12812,0.26,True
CAKE,12799,0.26,True
deadmau5,12773,0.26,True
Pulp,12753,0.26,True
Norther,12723,0.26,True
*NSYNC,12715,0.26,True
DMX,12714,0.26,True
CPM 22,12661,0.26,True
Snoop Dogg,12615,0.25,True
Hoobastank,12565,0.25,True
Ray J,12554,0.25,True
Basshunter,12551,0.25,True
Frank Klepacki,12531,0.25,True
80kidz,12520,0.25,True
Motion City Soundtrack,12486,0.25,True
Trey Songz,12471,0.25,True
Pain,12451,0.25,True
Red,12430,0.25,True
Sky Ferreira,12425,0.25,True
Senses Fail,12422,0.25,True
The Rocket Summer,12353,0.25,True
Avantasia,12345,0.25,True
Bowling for Soup,12331,0.25,True
Рубль,12321,0.25,True
Garth Brooks,12312,0.25,True
Monrose,12292,0.25,True
Korpiklaani,12266,0.24,True
Raul Seixas,12255,0.24,True
X-Ray Dog,12242,0.24,True
Lloyd Banks,12200,0.24,True
Dragonette,12176,0.24,True
Kelly Key,12157,0.24,True
Killwhitneydead,12147,0.24,True
The Dillinger Escape Plan,12115,0.24,True
Martin O'Donnell & Michael Salvatori,12086,0.24,True
Morten Harket,12076,0.24,True
Stratovarius,12070,0.24,True
Sparks,12055,0.24,True
Мои Ракеты Вверх,12043,0.24,True
Third Eye Blind,12037,0.24,True
Jefferson Airplane,12030,0.24,True
Fleetwood Mac,12008,0.24,True
Fightstar,11969,0.24,True
Aaliyah,11936,0.23,True
Andrew Bird,11918,0.23,True
Bob Marley & The Wailers,11867,0.23,True
Dolly Parton,11865,0.23,True
Spoon,11859,0.23,True
Paola & Chiara,11839,0.23,True
Raunchy,11820,0.23,True
The New Pornographers,11815,0.23,True
Marisa Monte,11769,0.23,True
Camouflage,11768,0.23,True
Pavement,11732,0.23,True
Poets of the Fall,11728,0.23,True
Goo Goo Dolls,11703,0.23,True
Maxïmo Park,11701,0.23,True
Vasco Rossi,11689,0.23,True
Stars,11637,0.23,True
Willow Smith,11628,0.23,True
Oomph!,11576,0.22,True
Manu Chao,11518,0.22,True
Alkaline Trio,11511,0.22,True
Keith Urban,11509,0.22,True
The Jimi Hendrix Experience,11484,0.22,True
Syd Barrett,11468,0.22,True
Jennifer Hudson,11450,0.22,True
In Extremo,11431,0.22,True
Twiztid,11430,0.22,True
Coheed and Cambria,11389,0.22,True
Echo & The Bunnymen,11388,0.22,True
Far East Movement,11374,0.22,True
Coil,11357,0.22,True
Buckethead,11353,0.22,True
Why?,11342,0.22,True
Faithless,11316,0.22,True
O Teatro Mágico,11314,0.22,True
D12,11310,0.22,True
David Gilmour,11295,0.22,True
植松伸夫,11286,0.22,True
Squarepusher,11264,0.22,True
Noize MC,11251,0.21,True
Wolfmother,11249,0.21,True
Eluveitie,11244,0.21,True
Rainbow,11216,0.21,True
James Morrison,11203,0.21,True
Charlie Brown Jr.,11191,0.21,True
Alizée,11156,0.21,True
Eels,11149,0.21,True
